city,lat,lon,pm25,pm10,no2,co,temperature,humidity,aqi
Delhi,28.6139,77.2090,180,320,60,1.2,35,45,310
Mumbai,19.0760,72.8777,80,140,30,0.6,32,70,145
Kolkata,22.5726,88.3639,120,220,45,0.9,34,65,220
Chennai,13.0827,80.2707,55,95,20,0.4,36,75,95
Bengaluru,12.9716,77.5946,50,90,18,0.3,28,60,85
Lucknow,26.8467,80.9462,160,280,55,1.0,37,50,280
Jaipur,26.9124,75.7873,110,190,40,0.8,39,35,190
Patna,25.5941,85.1376,170,300,58,1.1,36,55,295
Pune,18.5204,73.8567,70,120,25,0.5,31,58,130
Hyderabad,17.3850,78.4867,75,130,28,0.5,33,52,140
